"Testo Italiano";"Polaritá positiva su testo italiano";"Polaritá negativa su testo italiano";"Testo Inglese";"Polaritá su testo inglese";"Rabbia Calcolata";"Anticipazione calcolata";"Disgusto calcolata";"Paura calcolata";"Gioia calcolata";"Tristezza calcolata";"Sorpresa calcolata";"Fiducia calcolata"
"Dopo aver visitato il Foro Romano e il Colosseo, era difficile immaginare come fosse. È stato facile con il museo. Consigliato a tutti!";"21.16";"0.26";"After visiting the Roman Forum and the Coliseum, it was hard to imagine how it was. It was easy with the museum. Recommended for everyone!";2;"0.11";"0.21";"0.07";"0.14";"97.71";"0.21";"1.40";"0.16"
"Benvenuti a Roma è un concetto estremamente nuovo. Vengono presentati 4 edifici storici, l'illuminazione e l'animazione vengono utilizzate per crearli dal ""nulla"". Per finire, c'è un film sulla storia di Roma in cui la città viene gradualmente creata. Questo museo merita una breve passeggiata dalle principali attrazioni!";"0.06";"0.01";"Welcome to Rome is a very new concept. They present four historical buildings, lighting and animation are used to create them from ""nothing."" Finally, there is a movie about the history of Rome in which the city is gradually created. This museum is worth a short walk from the main attractions!";2;"0.78";"4.62";"1.08";"6.63";"77.01";"3.69";"5.58";"0.61"
"Grande escursione nella storia. Dall'inizio della formazione di Roma, ai tempi moderni. Per un prezzo ragionevole, ottieni 4 camere con ricostruzioni 3D su monumenti storici. + una sala con cinema 3D (mezz'ora).";"29.95";"6.27";"Great excursion into history. Since the beginning of the formation of Rome, to modern times. For a reasonable price, you get 4 bedrooms with 3D reconstructions of historical monuments. + With a 3D cinema room (half hour).";2;"0.25";"0.81";"0.07";"0.33";"96.03";"0.18";"2.23";"0.09"
"In una giornata piovosa, abbiamo partecipato a questo evento e siamo rimasti molto soddisfatti. Storie interessanti sulla storia del Castello di Sant'Angelo, il Vaticano, i Fori sono accompagnate da animazioni 3D,   il tutto con un'audioguida. In conclusione, abbiamo visto un film sulla storia di Roma. Molto interessante sia per gli adulti che per gli scolari.";"4.64";"0.51";"On a rainy day, we participated in this event and we were very pleased. Interesting stories about the history of the Castle Sant'Angelo, the Vatican, the Forum are accompanied by 3D animations, all with an audio guide. In conclusion, we saw a film about the history of Rome. Very interesting for both adults and schoolchildren.";2;"1.25";"2.73";"0.83";"3.57";"52.69";"1.56";"37.21";"0.15"
"Come indicano altre recensioni: fallo all'inizio del tuo viaggio a Roma. Molto istruttivo e chiaramente spiegato, rimarrai sicuramente affascinato per 45 minuti. Vale la pena il prezzo, soprattutto perché è anche molto silenzioso. Siamo arrivati nel tardo pomeriggio e sembravano essere le uniche persone presenti. Successivamente alcune persone si sono unite, ma è bello poter fare un'attrazione a Roma dove puoi fare le tue cose in pace, senza essere disturbato da altri turisti.";"11.25";"4.81";"As other reviews indicate: Do it at the beginning of your trip to Rome. Very informative and clearly explained, surely you'll be captivated for 45 minutes. It is worth the price, especially since it is also very quiet. We arrived in late afternoon and seemed to be the only people there. Then some people came together, but it's nice to be able to make an attraction in Rome where you can do your own thing in peace without being disturbed by other tourists.";3;"15.13";"1.36";"2.23";"4.97";"60.46";"2.50";"13.16";"0.19"
"L'attrazione è molto interessante e affronta i punti principali di Roma. Vale la pena di essere uno dei primi tour da fare, in quanto ti aiuta ad avere maggiori informazioni sui monumenti e fornisce anche consigli sulle costruzioni. Consiglio vivamente !!!";"15.33";"1.89";"The attraction is very interesting and addresses the main points of Rome. It pays to be an early tour to do, as it helps you to have more information on the monuments and also provides tips on buildings. I highly recommend !!!";3;"5.16";"32.97";"0.75";"9.41";"44.96";"2.13";"4.18";"0.42"
"Siamo arrivati 45 minuti prima dello spettacolo. Quando le porte si aprirono fummo informati che potevamo sederci ovunque. Abbiamo fatto in seconda fila. 5 minuti prima dell'inizio dello spettacolo, siamo stati informati che eravamo seduti in posti riservati e dovevamo spostarci. Inizialmente mi sono rifiutato perché a quel punto tutti i posti erano occupati. Il direttore del teatro si è molto arrabbiato con me e mi ha chiesto di uscire dal teatro per risolvere il problema. Siamo partiti. Inutile dire che ha rovinato la nostra serata. Non c'è modo di trattare un ospite pagante. Evitare a tutti i costi.";"1.98";"73.77";"We arrived 45 minutes before the show. When the doors opened, we were informed that we could sit anywhere. We did in the second row. 5 minutes before the show, we were informed that we were seated in reserved places and had to move. Initially I refused because at that point all the seats were occupied. The theater director was very angry with me and asked me to leave the theater to solve the problem. We departed. Needless to say that ruined our evening. There is no way to treat a paying guest. Avoid at all costs.";1;"17.52";"2.45";"4.65";"11.27";"39.19";"8.16";"16.15";"0.61"
"Questa è stata la nostra quarta volta a partecipare a questo spettacolo per un periodo di 4 anni. Il locale è molto ristretto per lo spazio e aspettano che ogni posto sia pieno prima di iniziare lo spettacolo. Il sistema di aria condizionata non è in grado di gestire il calore corporeo di 250 persone stipate in un piccolo teatro. La maggior parte delle persone era  seduta al proprio posto mezz'ora prima dell'inizio dello spettacolo e la temperatura interna doveva essere superiore ai 90 gradi. Il sistema a / c è stato travolto. Questo è sempre stato un problema in passato, ma non così grave come questa sera. Stimerei che il 15-20% del pubblico fosse andato dopo l'intervallo. Un altro 10% in più prima della chiamata alla ribalta. Sinceramente faceva un caldo nauseabondo. Ha rovinato le esibizioni.";"0.98";"12.72";"This was our fourth time to participate in this show for a period of four years. The restaurant is very small for the space and expect that every seat is filled before starting the show. The air conditioning system is not able to manage the body heat of 250 people crammed into a small theater. Most people sat in place half an hour before the show and the internal temperature must be above 90 degrees. The a / c system was overwhelmed. This has always been a problem in the past, but not as bad as this evening. I would estimate that 15-20% of the public had gone after the interval. Another 10% more before the call to the fore. Honestly, the heat was sickening. He ruined the performances.";1;"48.29";"0.05";"31.55";"3.32";"2.25";"13.69";"0.72";"0.13"
"La prima volta per l'opera per noi e non vedevamo l'ora di trascorrere una serata intera per una serata d'opera italiana. Vestiti e abbiamo aspettato in una lunga fila in cima alle scale! Pensavo che ci saremm seduti all'aperto per goderci qualcosa di spettacolare, ma siamo entrati in una stanza angusta con sedie e un piccolo palcoscenico. Caldo e chiuso! Un pianista, una donna e un uomo che cantavano, niente di più! Nessuna storia teatrale che abbiamo visto in televisione e che ci aspettavamo. La delusione è stata enorme. Durante la pausa, le porte della terrazza sul tetto sono state aperte con vista rialzata! Miracolo! È stato offerto un bicchiere di vino e alcuni snack. Quindi abbiamo colto l'occasione per andare via! La porta dietro di noi era chiusa a chiave e gli altri sono rimasti a soffrire!";"32.46";"76.51";"The first time for the work for us and we could not wait to spend the whole evening for an Italian opera evening. Clothes and we waited in a long line at the top of the stairs! I thought sitting outdoors saremm us to enjoy something spectacular, but we entered a cramped room with chairs and a small stage. Warm and closed! A pianist, a woman and a man singing, nothing more! No theatrical history we have seen on television and we were expecting. The disappointment was huge. During the break, the doors of the roof terrace were opened with elevated views! Miracle! He was offered a glass of wine and some snacks. So we took the opportunity to go away! The door behind us was locked and the others are left to suffer!";2;"0.60";"2.51";"0.57";"2.33";"80.90";"2.29";"10.45";"0.35"
"Questa è stata un'esperienza estremamente negativa, siamo arrivati in tempo e siamo riusciti a trovare un posto, decine di posti erano già riservati  e molti finiscono su sedie di plastica dura nei corridoi. L'intero spettacolo è stato ""ciao"" da una compagnia televisiva cinese che stava registrando un episodio di un programma speciale, quindi il nostro divertimento è stato rovinato da grandi intervalli di monologo cinese non tradotto. Anche i cantanti non erano eccezionali. il Soprano era bravo, il tenore era spaventoso. Uno spreco di denaro completo. Avrebbero dovuto dirci in anticipo di questa cosa delle riprese, che avremmo evitato.";"1.06";"13.11";"This has been extremely negative experience, we arrived on time and we were able to find a place, dozens of places were already reserved, and many end up on hard plastic chairs in the aisles. The entire show was ""hello"" from a Chinese television company that was recording an episode of a special program, so our enjoyment was spoiled by large Chinese monologue intervals not translated. the singers were not exceptional, too. Soprano was good, the tenor was scary. A complete waste of money. They should tell us in advance of this thing of occasions that we would have avoided.";1;"6.74";"0.45";"1.68";"1.61";"77.19";"1.89";"10.25";"0.18"
"Una serata abbastanza piacevole se non ti aspetti una performance standard al teatro dell'opera. Cantante maschile meglio della donna che stava cadendo dal suo vestito nel primo tempo. Costoso per la qualità dello spettacolo.";"0.14";"0.06";"A fairly pleasant evening if you do not expect a standard performance at the opera house. best male singer of the woman who was falling from her dress in the first half. Expensive for the quality of the show.";3;"17.40";"1.07";"1.48";"2.84";"71.25";"2.51";"2.96";"0.51"
"Se sei un vero appassionato di opera, ti preghiamo di evitare questa ampia cuccetta. Sono state due delle ore più lunghe della mia vita e rimpiango davvero di non essere andato via come hanno fatto molti altri. Per la maggior parte non era nemmeno opera, ma una sorta di esibizione musicale di festival bulgari con un flauto solista. Questa è davvero una trappola per turisti totale e il prosecco a buon mercato in bicchiere di plastica al momento dell'intervallo non era sufficiente per dare qualche punto in più. Il punteggio sarebbe stato più basso, ma per il cantante bariton, relativamente capace, che almeno ha cercato di iniettare un po 'di energia nell'esibizione senz'anima. Ho prenotato questo in parte sulla base delle recensioni positive su Tripadvisor - francamente ora sono scioccato dal fatto che stavo vivendo lo stesso evento amatoriale che altri hanno descritto in termini brillanti.";"5.12";"8.59";"If you are a true lover of opera, please avoid this wide berth. They were two of the longest hours of my life and really regret not to be left as did many others. For the most part it was not even working, but a kind of musical performance of Bulgarian festival with a solo flute. This is really a trap for tourists and total prosecco cheap plastic cup in the time interval was not enough to give a few more points. The score would have been lower but for the singer baritone, relatively capable, at least tried to inject a little 'soul energy in the exhibition. I booked this in part based on the positive reviews on TripAdvisor - frankly are now shocked that I was experiencing the same amateur event that others have described in shining terms.";1;"8.44";"0.75";"4.88";"3.94";"61.70";"12.28";"6.46";"1.54"
"Non per gli amanti dell'Opera Programmazione discutibile e prestazioni brevi. Finalmente .... O sole mio ....!";"28.33";"20.35";"Not for Opera lovers questionable programming and short performance. Finally .... .... O sole mio!";2;"0.83";"0.19";"0.11";"0.21";"96.99";"0.22";"1.42";"0.04"
"Mi aspettavo una selezione di pezzi ben noti e dato che questo non era il caso, abbiamo trovato la prima metà un po 'noiosa. Le cose sono migliorate dopo la breve pausa in cui gli artisti sono diventati più animati e hanno interagito un po 'con il pubblico";"0.44";"13.58";"I expected a selection of well-known pieces, and since this was not the case, we found the first half a bit 'boring. Things improved after the short break in which artists have become more animated and interacted a bit 'with the public";2;"5.73";"2.73";"7.81";"13.84";"22.48";"19.60";"26.57";"1.23"
"la serata è stata piacevole e ci siamo divertiti, avremmo voluto che avessero scelto diverse opere e il tutto fosse affrettato, ma per 22 euro ne è valsa la pena";"66.13";"65.06";"the evening was pleasant and we had fun, we wished we had chosen different works and everything was rushed, but for 22 Euros it was worth it";3;"0.35";"0.20";"0.07";"0.19";"98.23";"0.24";"0.56";"0.15"
"Bello, ma non fantastico. Siamo rimasti delusi dal fatto che fosse al chiuso. Due cantanti di talento, un pianista di talento.";"79.18";"11.51";"Nice, but not fantastic. We were disappointed that it was indoors. Two talented singers, a talented pianist.";2;"6.04";"3.84";"7.28";"18.32";"14.63";"24.96";"4.50";"20.43"
"Serata divertente per ascoltare l'opera a Taormina. I cantanti erano buoni e l'atmosfera era perfetta. Mi è piaciuto ascoltare il pianista, è stato fantastico. L'intervallo sul ponte che dava sulla piazza era una vera delizia.";"96.91";"2.26";"fun evening for listening to opera in Taormina. The singers were good and the atmosphere was perfect. I loved hearing the pianist, it was great. The interval on the deck facing the square was a real treat.";3;"2.35";"0.58";"1.68";"7.94";"62.65";"4.38";"20.29";"0.14"
"Abbiamo davvero apprezzato la nostra serata all'opera al Teatro San Giorgio di Taormina. La compagnia eseguì una selezione di standard popolari tra diverse opere tra cui: Madame Butterfly, il matrimonio di Figaro e il barbiere di Siviglia. L'enfasi è molto sul divertimento e l'intrattenimento; se sei nuovo all'opera, ciò fornirebbe un'ottima introduzione. Ha anche un ottimo rapporto qualità-prezzo a 25 euro a biglietto che include un bicchiere di Prosecco sulla terrazza che si affaccia sulla piazza nell'intervallo. I posti a sedere sono senza prenotazione, quindi consiglierei di arrivare presto per ottenere un buon posto.";"72.62";"13.93";"We really enjoyed our evening at the opera at the Teatro San Giorgio di Taormina. The company performed a selection of popular standards including several works including: Madame Butterfly, The Marriage of Figaro and The Barber of Seville. The emphasis is very fun and entertainment; if you're new to the work, this would provide a good introduction. It's also a great value for money at 25 euro per ticket, which includes a glass of Prosecco on the terrace overlooking the square range. The seats are no reservations, so I would recommend arriving early to get a good seat.";2;"0.68";"10.02";"0.49";"4.08";"76.04";"2.12";"4.30";"2.26"
"Se ti aspetti qualcosa di grandioso, non puoi rimanere deluso. Era un cantante / cantante lirico maschio e femmina, nonché un pianista che insieme offrivano chicche da opere italiane. Avevano un talento incredibile e il piccolo teatro dell'opera aveva un'acustica incredibile. La serata è stata divisa in 2 atti e durante la pausa hai preso champagne e snack. Abbiamo trascorso una bella serata con bellissimi canti e anche un paio di canzoni con solo pianoforte.";"57.97";"11.36";"If you expect something great, you will not be disappointed. It was an opera singer / singer male and female, as well as a pianist with goodies offered by Italian works. They had an incredible talent and the small opera house had incredible acoustics. The evening was divided into two acts and during the break you had champagne and snacks. We spent a nice evening with beautiful songs and also a couple of songs with just piano.";3;"12.63";"1.76";"4.06";"4.87";"57.96";"6.23";"11.68";"0.81"
"Che serata fantastica. Bellissimo teatro antico e semplice breve opera perfetta per la prima esperienza. C'è stato un breve intervallo che ha permesso una pausa per scattare alcune foto dalla terrazza dei teatri. Viaggiavamo con un bambino di 3 anni affascinato.";"6.48";"0.60";"What a fantastic evening. Very nice old theater and simple short perfect work for the first experience. There was a short interval that allowed a break to take some photos from the terrace of the theaters. We were traveling with a 3 year old boy fascinated.";2;"0.07";"0.16";"0.06";"0.11";"98.45";"0.24";"0.60";"0.31"
"Ottima serata fuori, piccolo teatro da 300 posti. Se sei un amante dell'opera potresti non pensare che sia grandioso, ma se vuoi divertirti, lo adorerai. Resta fino alla fine mentre fanno un po 'di improvvisazione. All'intervallo aprono le tende laterali per rivelare un bellissimo balcone con le luci della città e fornire Prosecco agli ospiti.";"0.14";"0.31";"Great evening out, a small 300-seat theater. If you are an opera lover you may not think that it's great, but if you want to enjoy, you will worship him. It remains until the end and make it a bit 'improvisation. At the break open the side curtains to reveal a beautiful balcony with the lights of the city and providing guests with Prosecco.";2;"1.57";"0.16";"0.92";"1.01";"88.97";"4.74";"1.42";"1.20"
"Mi è piaciuta molto l'opera italiana Taormina. Caratteristico piccolo teatro. Eccellente mezzosoprano e tenore. Forse non ha abbastanza canzoni conosciute da lei, anche se aveva un'ottima voce. L'intervallo sulla terrazza è stata un'esperienza incantevole con vista su Piazza Abrile IX - ma è un peccato che il prosecco non sia stato molto buono. Nel complesso un meraviglioso paio d'ore di intrattenimento dopo cena (inizia alle 21.15)";"29.23";"6.99";"I loved Italian opera Taormina. Quaint little theater. Excellent mezzo-soprano and tenor. Maybe not quite familiar songs from her, even though he had a good voice. The interval on the terrace was a lovely experience overlooking the Piazza IX Abrile - but it is a pity that the prosecco was not very good. Overall a wonderful couple of hours after dinner entertainment (starts at 21:15)";2;"0.55";"0.23";"0.17";"0.61";"95.52";"0.62";"2.11";"0.20"
"Una serata divertente! Tanto per il talento comico quanto per le esibizioni dei tre protagonisti: Christian Gravina, Sabrina Messina e il pianista Antonio Gennaro. Il teatro è piuttosto piccolo, ma come tutte le cose italiane, ha un fascino segreto, vale a dire l'ampio balcone dove sono disponibili bevande durante l'intervallo. La disposizione dei posti è confusa, come è stato precedentemente menzionato. All'arrivo ti viene detto che si tratta di posti a sedere gratuiti, quindi se ti avvicini alle prime file, ti viene chiamato in fretta più indietro e ti viene detto che le prime poche file sono riservate. Non sono un intenditore dell'opera, tuttavia c'è qualcosa per tutti. Il talento dominante sta nel pianista. Forse è semplicemente per il fatto che apprezzo il piano più che il canto operistico, ma il pianista era la vera star senza pretese dello spettacolo. Non riesco a descrivere adeguatamente come suona, ma è stato uno di quei momenti in cui stai guardando il vero talento nella carne. Ti chiedi quante ore ha provato a far muovere le mani così abilmente sui tasti. Scopri quando suona e vai ad ascoltare! Godere!";"68.68";"15.53";"A fun evening! So much for the comic talent and for the performances of the three protagonists: Christian Gravina, Sabrina Messina and pianist Antonio Gennaro. The theater is quite small, but like all things Italian, has a secret charm, namely the large balcony where drinks are available during the interval. The seating arrangement is confusing, as was previously mentioned. Upon arrival we are told that it is free seats, so if you approach the front rows, you are called in haste further back and you are told that the first few rows are reserved. I'm not a connoisseur of the work, however, there is something for everyone. The dominant talent is the pianist. Maybe it's just the fact that I appreciate more than the operatic chant, but the pianist was the real star of the show with no pretensions. I can not adequately describe how it sounds, but it was one of those moments when you're watching the real talent in the flesh. You wonder how many hours he tried to move his hands so ably on the keys. Find out when playing and go to listen! To enjoy!";2;"0.05";"1.23";"0.02";"0.21";"97.08";"0.08";"1.29";"0.05"
"Vale la pena visitare. I cantanti erano fantastici e il pianista suonava magnificamente. È solo poco più di un'ora ma vale la pena provare l'esperienza a Taormina.";"0.01";"0.02";"It is worth visiting. The singers were great and the pianist played beautifully. It is only just over an hour but it is worth to experience in Taormina.";3;"0.10";"0.06";"0.05";"0.17";"97.94";"0.18";"0.29";"1.22"
"Una bella serata. Cantanti e pianisti eccellenti. Il teatro carino e l'intervallo sulla terrazza che si affaccia sulla piazza lo hanno reso speciale.";"93.44";"0.87";"A nice evening. Singers and excellent pianists. The cute theater and the interval on the terrace overlooking the square made it special.";3;"0.04";"0.05";"0.02";"0.05";"97.44";"0.07";"2.31";"0.01"
"È stata una bella serata. I cantanti e il pianista erano fantastici! Lo rifarei sicuramente. Le altre recensioni hanno affermato che il locale era troppo caldo, in effetti era molto confortevole. Penso che abbiano aggiunto i condizionatori d'aria.";"59.76";"43.18";"It was a nice evening. The singers and pianist were fantastic! I would do it for sure. Other reviewers have stated that the room was too hot, in fact it was very comfortable. I think they added air conditioners.";2;"6.87";"0.51";"1.37";"1.35";"83.07";"3.59";"2.72";"0.51"
"Una fantastica serata fuori. Prima cena abbondante e alle 21.15 una performance inizia in una piccola stanza con un grande pianista e un buon baritono e soprano che cantano vari brani d'opera. Spesso cantano insieme. Davvero una serata perfetta";"41.58";"3.15";"A great night out. Before hearty dinner and a performance starts at 21.15 in a small room with a great pianist and a good baritone and soprano singing various operatic songs. Often they sing together. Really a perfect evening";3;"0.01";"0.01";"0.00";"0.01";"99.66";"0.01";"0.31";"0.00"
"buoni cantanti e pianista. Bel mix di momenti salienti dell'opera. L'acustica del teatro è purtroppo triste. Trambusto accogliente nel mezzo di Taormina. Ancora bel tempo il 17 settembre 2019.";"0.94";"0.29";"good singers and a pianist. Nice mix of salient moments of the opera. The acoustics of the theater is unfortunately sad. Bustle cozy in the middle of Taormina. Still nice weather 17 September 2019.";2;"1.02";"9.03";"0.65";"4.54";"76.63";"2.44";"4.84";"0.86"
"Non sono mai stato a una serata d'opera, quindi l'opportunità di andare mentre eravamo in Sicilia è stata una bella occasione da non perdere. Le prestazioni e gli artisti erano eccellenti. Bel drink a metà tempo sulla terrazza sul tetto. Un appunto che farò è non preoccuparti di pubblicizzare spuntini ect e quindi aprire un sacchetto di patatine. Personalmente la ritendo una perdita di tempo assoluta. Spendi di più per i tuoi artisti.";"43.77";"56.24";"I've never been to a night at the opera, and the opportunity to go while we were in Sicily it was a good opportunity not to be missed. The performance and the performers were excellent. Bel drink at half time on the roof terrace. A note that I will not have to worry about advertising ect snacks and then open a bag of chips. Personally I ritendo an absolute waste of time. Pay more for your artists.";2;"0.01";"0.07";"0.01";"0.02";"99.53";"0.04";"0.23";"0.08"
"Lo consigliamo vivamente !! Una bella serata di diversi estratti d'opera !! Il tenore, il soprano e il pianista erano eccellenti …";"88.85";"2.83";"We highly recommend it !! A beautiful evening of several opera excerpts !! The tenor, soprano and pianist were excellent ...";3;"0.01";"0.71";"0.01";"0.09";"98.53";"0.07";"0.45";"0.14"
"Come sempre, ogni esibizione al Teatro Greco è meravigliosa ... nel caso di Carmen, l'orchestra e i cantanti erano molto bravi, ma lo scenografo avrebbe potuto adattare il suo scenario permettendo al pubblico di godersi lo scenario naturale della baia di Naxos ! Un'osservazione per l'organizzazione, mettete degli occhiali, non siate pidocchiosi! Paghiamo 60 euro per alcuni posti abbastanza lontani per un'Opera all'aperto in un anfiteatro dove i posti sono fatti di pietra e il pavimento è fatto di terra, non siate così aggrappati al denaro! ";"7.78";"49.59";"As always, each performance at the Greek Theater is wonderful ... in the case of Carmen, the orchestra and the singers were very good, but the designer could fit his scenario, allowing the audience to enjoy the natural scenery of the bay of Naxos! An observation for the organization, put the glasses, do not be lousy! We pay 60 Euros for some pretty remote places for a Work in an outdoor amphitheater where the posts are made of stone and the floor is made of earth, do not be so clinging to money!";2;"4.04";"0.57";"1.58";"2.85";"78.60";"4.71";"2.01";"5.64"
"Abbiamo comprato i biglietti al botteghino di Corso Umberto. Il botteghino è aperto dopo le 11 per quanto ne sappiamo. Mio marito ed io abbiamo deciso di lasciare i nostri figli da soli e siamo andati a questa esibizione. C'erano alcuni brani familiari e i cantanti erano meravigliosi e anche il pianista era fantastico. Durante l'intervallo ci è stato servito prosecco sul balcone. È stata una bella notte calda con vista sulla piazza. L'ultima sorpresa è stata un bel tocco. Nel complesso, sono molto felice e progetto di guardare un'opera in piena regola nel prossimo futuro.";"98.62";"5.78";"We bought tickets at the box office in Corso Umberto. The box office is open after 11pm for all we know. My husband and I decided to leave our children alone and we went to this exhibition. There were some familiar songs and the singers were wonderful and even the piano player was fantastic. At half-time we were served prosecco on the balcony. It was a beautiful warm night overlooking the square. The last surprise was a nice touch. Overall, I am very happy and plan to look at a work full-blown in the near future.";3;"3.88";"0.51";"3.07";"2.29";"75.83";"8.15";"4.91";"1.35"
"Visita davvero piacevole a Taomerina Opera. Avendo l'abitudine di vedere le grandi opere all'Opera di Stoccolma e simili, questa era un'udienza intima e sorprendentemente buona. Divertente vedere alcuni snob dell'opera confrontarsi con la realtà.";"0.77";"0.32";"Visit very pleasant Taomerina Opera. Having the habit of seeing the great works Opera of Stockholm and the like, this was an audience intimate and surprisingly good. Fun to see some opera snobs confront reality.";3;"0.51";"0.65";"0.16";"0.43";"96.06";"0.51";"1.44";"0.25"
"Siamo stati piacevolmente sorpresi da questo spettacolo con stralci di diverse opere. Il formato è leggero e divertente e gli artisti di alto valore.
A coronare questa bella serata il drink offerto sulla terrazza panoramica del teatro.

Assolutamente raccomandato!";"82.57";"0.45";"We were pleasantly surprised by this show with excerpts of different works. The format is light and fun and high-value artists.
To crown this beautiful evening offered a drink on the terrace of the theater.

Definitely recommended!";3;"0.51";"0.40";"0.17";"1.34";"52.52";"0.27";"44.78";"0.01"
"una serie ragionevole di artisti e un cambiamento dal trambusto di Taormina. non i migliori che abbia mai visto ma ok.";"20.09";"31.47";"a reasonable set of artists and a change from the hustle and bustle of Taormina. not the best I've ever seen but ok.";2;"5.96";"5.18";"6.04";"10.17";"41.03";"10.15";"11.21";"10.26"
"La durata dello spettacolo è l'ideale per fare un excursus delle varie opere italiane. Ma la cosa più bella è stata la simpatia dei cantanti, che oltre ad essere degli ottimi professionisti si sono anche rivelati ottimi interpreti nelle varie situazioni.
E' stato molto divertente davvero, sicuramente ripeterei l'esperienza.";"85.75";"0.97";"The duration of the show is ideal for making an excursus of the various Italian works. But the best thing was the friendliness of the singers, who besides being excellent professionals have also revealed excellent interpreters in various situations.
E 'was great fun actually, certainly would repeat the experience.";3;"0.04";"0.12";"0.02";"0.11";"92.05";"0.08";"7.59";"0.01"
"I manifesti / mezzi pubblicitari per questo erano leggermente fuorvianti. Ci aspettavamo di essere trattati per una serata di brani molto noti - opere di maggior successo (per così dire), ma conoscevamo solo circa la metà della dozzina di pezzi. Capisco però, i pezzi vengono cambiati ogni notte, quindi potresti essere fortunato ?! Era un luogo intimo con una bellissima terrazza dove avevamo un bicchiere di prosecco nell'intervallo. per coloro che conoscono il Little Theatre di Bath, il locale era di dimensioni molto simili. Detto questo, il pianista, il soprano e il tenore che si sono esibiti la sera in cui abbiamo assistito erano eccellenti. Le loro voci hanno attraversato l'intero auditorium senza la necessità di alcun microfono e le loro esibizioni, di prim'ordine - ottimo lavoro. Anche se ero leggermente deluso dal non riconoscere ogni aria, vivere una serata all'opera, a Taormina, in italiano, in Italia, non è qualcosa da non perdere.";"5.31";"43.63";"The posters / advertising media for that were slightly misleading. We expected to be treated to an evening of well-known songs - most successful works (so to speak), but knew only about half of the dozen pieces. But I understand, the pieces are changed every night, so you might get lucky?! It was a cozy place with a beautiful terrace where we had a glass of prosecco in the interval. for those who know the Little Theater of Bath, the place was very similar in size. That said, the pianist, soprano and tenor who performed on the night we attended were excellent. Their voices have gone through the entire auditorium without the need for any microphone and their performances, first-rate - great job. Even though I was slightly disappointed not to recognize every aria, living a night at the opera, in Taormina, Italian in Italy, is not something to be missed.";2;"0.18";"0.47";"0.17";"0.37";"93.90";"0.56";"4.16";"0.20"
"Giocosa, forte e bella. Mi piacerebbe avere più di questi artisti. Sala intima e atmosfera molto piacevole. Consigliato se inizialmente ti piace l'opera o no.";"98.21";"8.06";"Playful, strong and beautiful. I would like more of these artists. cozy room and very pleasant atmosphere. Recommended if initially you like the work or not.";2;"5.37";"1.26";"2.41";"4.44";"65.40";"4.65";"15.99";"0.48"
"OK, se ti aspetti Pavarotti, Callas o un'orchestra diretta da Mariani, rimarrai deluso. Tuttavia, se ti piacerebbe vedere cantanti lirici giovani ed energici e un fantastico virtuoso del pianoforte a un prezzo molto ragionevole, consiglierei davvero la serata. L'interno dell'edificio ha bisogno di cure, ma c'è una bella terrazza per drink di media performance. La sera in cui abbiamo assistito alla cantante è stata eccezionale. Il Baratone era buono e il pianista eccellente. (3/7/19)";"99.06";"1.85";"OK, if you expect Pavarotti, Callas or an orchestra conducted by Mariani, you are disappointed. However, if you like to see young opera singers and energetic and a great virtuoso of the piano at a very reasonable price, I really recommend the evening. The interior of the building needs care, but there is a pretty average performance for drinks terrace. The night we attended the singer was exceptional. The Baratone was good and the excellent pianist. (03/07/19)";2;"0.55";"0.57";"0.21";"0.76";"92.69";"0.54";"4.59";"0.09"
"3 grandi animatori - ottimo modo per passare la serata alle 21:00. ambiente piccolo e compatto nel centro storico";"98.88";"1.05";"3 great animators - great way to spend the evening at 21:00. small and compact environment in the historic center";2;"0.01";"0.10";"0.00";"0.01";"99.67";"0.02";"0.15";"0.04"
"Ottimi i tre artisti che si solo alternati in scena. Bellissima la vista dalla terrazza con vista mare.";"99.27";"0.45";"Excellent three artists who only turns on stage. Beautiful view from the terrace with sea view.";2;"0.02";"0.19";"0.02";"0.07";"98.43";"0.08";"1.13";"0.06"
"Piccolo teatro da 150 posti, performance molto buona, di una dozzina di brani tratti da varie opere. Bicchiere gratuito di Prosecco sulla terrazza e tutto per € 25, un eccellente rapporto qualità-prezzo. L'unico aspetto negativo è stato il caldo. Tre piccole teste di aria condizionata non sono abbastanza uomo per lo spazio.";"91.93";"59.57";"Small theater with 150 seats, very good performance, a dozen excerpts from various works. Free glass of Prosecco on the terrace and all for € 25, excellent value for money. The only downside was the heat. Three small air conditioning heads are not man enough for the space.";2;"0.89";"0.39";"0.31";"0.53";"94.07";"0.74";"2.87";"0.21"
"Bella serata con pianista e due cantanti che cantano arie popolari. La ripresa alla fine ha coinvolto tutto il pubblico. Delizioso bicchiere di fizz all'intervallo su una bellissima terrazza. L'unico lato negativo era arrivato presto come consigliato ci hanno detto di sederci ovunque. Solo per essere avvisati di trasferirsi quando una festa arrivò e si rivelò che i posti erano stati riservati con piccoli appunti sui posti. Ci restarono solo posti singoli ai lati";"0.00";"0.01";"Beautiful evening with pianist and two singers who sing popular arias. The recovery at the end involving the entire audience. Delicious glass of fizz interval on a beautiful terrace. The only downside had arrived early as advised they told us to sit anywhere. Just to remind you to move when a party arrived and it turned out that the seats had been reserved with small notes about places. There remained only single seats at the sides";2;"1.34";"0.79";"0.44";"1.00";"89.24";"0.95";"6.02";"0.21"
